name,price,old_price,rating,reviews,link,page,discount_pct,discount_amount,discount_pct_calc,value_score,brand,price_range,discount_range
Nine 3L Yam Pounder Food Processorsr Jrj 3,18525.0,19500.0,3.7 out of 5,3.7 out of 5(31),https://www.jumia.com.ng/nine-3l-yam-pounder-food-processorsr-jrj-3-415677899.html,2,,975.0,5.0,,Nine,₦10k-25k,
Pyramid Electric Kettle 2.2L Silver,12200.0,20000.0,4.4 out of 5,4.4 out of 5(106),https://www.jumia.com.ng/pyramid-electric-kettle-2.2l-silver-253575450.html,2,,7800.0,39.0,,SILVER,₦10k-25k,
Qasa Energy Saving And Inverter Dry Iron 300 Watts Qdl 300,14300.0,,4.3 out of 5,4.3 out of 5(134),https://www.jumia.com.ng/qasa-energy-saving-and-inverter-dry-iron-300-watts-qdl-300-311662749.html,2,,,,,Qasa,₦10k-25k,
Nine Electric Food Mixer 3 Speeds Wireless Portable Automatic Whisk Butter Egg Beater Baking Cake Whipper Kitchen Hand Blender Automatic Whisk Butter Egg Beater Baking Cake Whipper Kitchen Hand Blender,8265.0,8700.0,4.1 out of 5,4.1 out of 5(9),https://www.jumia.com.ng/nine-electric-food-mixer-3-speeds-wireless-portable-automatic-whisk-butter-egg-beater-baking-cake-whipper-kitchen-hand-blender-automatic-whisk-butter-egg-beater-baking-cake-whipper-kitchen-hand-blender-415680846.html,2,,435.0,5.0,,Nine,₦0-10k,
Silver Crest 9.0Litres Yam Pounder Food Processor,43000.0,56000.0,4.4 out of 5,4.4 out of 5(29),https://www.jumia.com.ng/silver-crest-9.0litres-yam-pounder-food-processor-75675793.html,2,,13000.0,23.21,,SILVER,₦25k-50k,
Generic Portable Handheld Vacuum Cleaner High Power Strong Suction,30200.0,41748.0,3.5 out of 5,3.5 out of 5(17),https://www.jumia.com.ng/generic-portable-handheld-vacuum-cleaner-high-power-strong-suction-257936066.html,2,,11548.0,27.66,,Generic,₦25k-50k,
Generic Iron Teflon Shoe,7600.0,8000.0,5 out of 5,5 out of 5(3),https://www.jumia.com.ng/generic-iron-teflon-shoe-407678056.html,2,,400.0,5.0,,Generic,₦0-10k,
Generic Iron Multifunctional Dry Ironing Steaming 1800W Black,18500.0,26820.0,4.1 out of 5,4.1 out of 5(17),https://www.jumia.com.ng/generic-iron-multifunctional-dry-ironing-steaming-1800w-black-362550563.html,2,,8320.0,31.02,,Generic,₦10k-25k,
Generic Rechargeable Electric Mosquito Killer Bat Swatter1200Mah,10010.0,14528.0,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/generic-rechargeable-electric-mosquito-killer-bat-swatter1200mah-408154795.html,2,,4518.0,31.1,,Generic,₦10k-25k,
Sonik Electric Insect Killer12W,28310.0,35000.0,4.5 out of 5,4.5 out of 5(2),https://www.jumia.com.ng/sonik-electric-insect-killer12w-104733604.html,2,,6690.0,19.11,,Sonik,₦25k-50k,
Deadbug Deadbug Organic Cockroach Killer 50Ml X 2 Pieces Food Bait,8549.0,10999.0,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/deadbug-deadbug-organic-cockroach-killer-50ml-x-2-pieces-food-bait-391071859.html,2,,2450.0,22.27,,Generic,₦0-10k,
Sonik Electric Insect Killer30W,39899.0,42500.0,,,https://www.jumia.com.ng/sonik-electric-insect-killer30w-104733295.html,2,,2601.0,6.12,,Sonik,₦25k-50k,
Deadbug Deadbug Organic Rat Bait Balls,5224.0,7499.0,4 out of 5,4 out of 5(2),https://www.jumia.com.ng/deadbug-deadbug-organic-rat-bait-balls-365432030.html,2,,2275.0,30.34,,Generic,₦0-10k,
