name,price,old_price,discount,rating,reviews,link,page
N/A,"₦ 14,249","₦ 19,999",N/A,4 out of 5,4 out of 5(8),https://www.jumia.com.ng/deadbug-organic-no-chemical-bedbug-killer-4-bottles-264007251.html,3
N/A,"₦ 49,400 - ₦ 63,650","₦ 52,000 - ₦ 67,000",N/A,1 out of 5,1 out of 5(1),https://www.jumia.com.ng/generic-cordless-pressure-gun-washer-portable-high-power-washer-gun-rechargeable-high-pressure-water-spray-gun-car-washer-cleaner-garden-washer-48v-412879093.html,3
N/A,"₦ 85,500",N/A,N/A,N/A,N/A,https://www.jumia.com.ng/generic-century-food-processor-and-yam-pounder-1000watts-401651238.html,3
N/A,"₦ 9,974","₦ 10,499",N/A,3 out of 5,3 out of 5(2),https://www.jumia.com.ng/nine-1.5l-black-kettle-stainless-steel-hr-462-291719362.html,3
N/A,"₦ 18,525","₦ 19,500",N/A,3.7 out of 5,3.7 out of 5(90),https://www.jumia.com.ng/nine-3l-yam-pounder-food-processor-sr-jrj-3-272105402.html,3
N/A,"₦ 15,200","₦ 25,000",N/A,N/A,N/A,https://www.jumia.com.ng/generic-beautiful-valentines-day-gift-419169215.html,3
N/A,"₦ 43,225","₦ 45,500",N/A,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/generic-world-global-map-earth-teaching-geography-map-266961886.html,3
N/A,"₦ 15,105","₦ 25,000",N/A,N/A,N/A,https://www.jumia.com.ng/generic-stainless-steel-whistling-kettle-4-litres-for-stove-and-gas-use-346558428.html,3
N/A,"₦ 14,249","₦ 19,999",N/A,3 out of 5,3 out of 5(2),https://www.jumia.com.ng/deadbug-organic-cockroach-killer-buy-4-get-1-free-odorless-100000960.html,3
N/A,"₦ 43,000","₦ 55,000",N/A,3.8 out of 5,3.8 out of 5(4),https://www.jumia.com.ng/8.0litres-yam-pounderfood-processor-2800w-legacy-mpg6261091.html,3
N/A,"₦ 42,750","₦ 45,000",N/A,N/A,N/A,https://www.jumia.com.ng/generic-philip-electric-iron-402486264.html,3
N/A,"₦ 5,604","₦ 8,999",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/deadbug-bedbug-magic-powder-x-5-pcs-no-chemical-391092761.html,3
N/A,"₦ 38,500",N/A,N/A,3.8 out of 5,3.8 out of 5(5),https://www.jumia.com.ng/yam-pounder-and-multifunctional-food-machine-6l-bowl-king-style-mpg7036741.html,3
N/A,"₦ 31,990","₦ 57,036",N/A,N/A,N/A,https://www.jumia.com.ng/nexo-2-in-1-blender-1.5l-perfect-blender-smoothie-maker-ideal-for-healthy-drinks-bl-ch28-xd-300w-1-year-warranty-418921350.html,3
N/A,"₦ 51,000",N/A,N/A,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/silver-crest-german-yam-pounderfood-processor-8litres-4500w-205412692.html,3
N/A,"₦ 21,374","₦ 22,499",N/A,N/A,N/A,https://www.jumia.com.ng/nine-1.0l-white-electric-kettle-stainless-steel-hr-462-291721328.html,3
N/A,"₦ 28,199","₦ 32,500",N/A,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/mr.-steel-mr-steel-electric-2l-meat-grinder-yam-pounder-processor-237225353.html,3
N/A,"₦ 125,400","₦ 162,000",N/A,N/A,N/A,https://www.jumia.com.ng/sonifer-cordless-powerful-vacuum-cleaner-419173641.html,3
N/A,"₦ 39,500",N/A,N/A,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/generic-2000watts-yam-pounder-with-6ltr-stainless-bowl-spatula-112878031.html,3
N/A,"₦ 15,105","₦ 15,900",N/A,3.3 out of 5,3.3 out of 5(3),https://www.jumia.com.ng/3-litres-stainless-steel-anti-rust-kettle-gas-stove-generic-mpg6019192.html,4
N/A,"₦ 3,704","₦ 4,999",N/A,2.5 out of 5,2.5 out of 5(2),https://www.jumia.com.ng/bedbug-magic-powder-no-chemical-all-natural-10g-deadbug-mpg8072485.html,4
N/A,"₦ 80,750","₦ 85,000",N/A,4.3 out of 5,4.3 out of 5(3),https://www.jumia.com.ng/cast-iron-manual-juicer-hand-press-juice-squeezer-generic-mpg5885380.html,4
N/A,"₦ 269,824","₦ 999,999",N/A,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/generic-raf-multi-function-juicer-heavy-duty-heating-nutrition-blender-1.8l-r.2833-419004998.html,4
N/A,"₦ 18,429","₦ 19,399",N/A,N/A,N/A,https://www.jumia.com.ng/genera-stainless-steel-whistling-kettle-jr002-408479617.html,4
N/A,"₦ 123,500","₦ 200,000",N/A,N/A,N/A,https://www.jumia.com.ng/generic-wet-dry-power-vacuum-cleaner-20l-tank-capacity-388444844.html,4
N/A,"₦ 71,250","₦ 75,000",N/A,4.3 out of 5,4.3 out of 5(3),https://www.jumia.com.ng/round-portable-charcoal-bbq-grill-barbecue-generic-mpg11951034.html,4
N/A,"₦ 62,000","₦ 85,000",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/rico-heavy-duty-fufu-maker-yam-pounder-800watts-70800135.html,4
